Time_s,HandwheelAngle_deg
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0.628292692472827
1.02,1.25643036312513
1.03,1.88425802838571
1.04,2.51162078117254
1.05,3.13836382911381
1.06,3.76433253274058
1.07,4.38937244364181
1.08,5.01332934257218
1.09,5.63604927750331
1.1,6.25737860160923
1.11,6.87716401117638
1.12,7.49525258342899
1.13,8.11149181426051
1.14,8.72572965586171
1.15,9.33781455423622
1.16,9.94759548659419
1.17,10.5549219986149
1.18,11.1596442415692
1.19,11.7616130092922
1.2,12.3606797749979
1.21,12.956696727926
1.22,13.5495168098116
1.23,14.1389937511703
1.24,14.7249821073871
1.25,15.3073372946036
1.26,15.8859156253912
1.27,16.4605743442043
1.28,17.0311716626029
1.29,17.5975667942366
1.3,18.1596199895819
1.31,18.7171925704229
1.32,19.2701469640686
1.33,19.8183467372963
1.34,20.3616566300149
1.35,20.8999425886379
1.36,21.4330717991598
1.37,21.9609127199253
1.38,22.4833351140853
1.39,23.0002100817312
1.4,23.5114100916989
1.41,24.0168090130354
1.42,24.516282146119
1.43,25.0097062534282
1.44,25.4969595899475
1.45,25.9779219332074
1.46,26.4524746129461
1.47,26.9205005403909
1.48,27.3818842371475
1.49,27.8365118636926
1.5,28.2842712474619
1.51,28.7250519105275
1.52,29.1587450968565
1.53,29.5852437991443
1.54,30.0044427852184
1.55,30.4162386240013
1.56,30.8205297110315
1.57,31.2172162935331
1.58,31.6062004950277
1.59,31.9873863394837
1.6,32.3606797749979
1.61,32.725988697001
1.62,33.0832229709824
1.63,33.4322944547309
1.64,33.7731170200806
1.65,34.1056065741637
1.66,34.4296810801578
1.67,34.7452605775277
1.68,35.0522672017546
1.69,35.3506252035477
1.7,35.6402609675347
1.71,35.9211030304246
1.72,36.1930820986408
1.73,36.4561310654178
1.74,36.7101850273592
1.75,36.9551813004515
1.76,37.1910594355301
1.77,37.4177612331947
1.78,37.635230758169
1.79,37.8434143531018
1.8,38.0422606518061
1.81,38.2317205919333
1.82,38.4117474270778
1.83,38.582296738312
1.84,38.7433264451453
1.85,38.894796815907
1.86,39.0366704775499
1.87,39.1689124248706
1.88,39.2914900291475
1.89,39.4043730461909
1.9,39.5075336238054
1.91,39.6009463086622
1.92,39.684588052579
1.93,39.7584382182072
1.94,39.8224785841232
1.95,39.8766933493251
1.96,39.9210691371309
1.97,39.9555949984789
1.98,39.9802624146293
1.99,39.9950652992664
2,40
2.01,39.9950652992664
2.02,39.9802624146293
2.03,39.9555949984787
2.04,39.9210691371309
2.05,39.8766933493251
2.06,39.8224785841232
2.07,39.7584382182072
2.08,39.684588052579
2.09,39.6009463086622
2.1,39.5075336238054
2.11,39.404373046191
2.12,39.2914900291475
2.13,39.1689124248706
2.14,39.0366704775499
2.15,38.894796815907
2.16,38.7433264451453
2.17,38.582296738312
2.18,38.4117474270778
2.19,38.2317205919333
2.2,38.0422606518061
2.21,37.8434143531018
2.22,37.635230758169
2.23,37.4177612331947
2.24,37.1910594355301
2.25,36.9551813004515
2.26,36.7101850273592
2.27,36.4561310654178
2.28,36.1930820986408
2.29,35.9211030304246
2.3,35.6402609675347
2.31,35.3506252035477
2.32,35.0522672017546
2.33,34.7452605775277
2.34,34.4296810801578
2.35,34.1056065741637
2.36,33.7731170200806
2.37,33.4322944547309
2.38,33.0832229709826
2.39,32.725988697001
2.4,32.3606797749979
2.41,31.9873863394837
2.42,31.6062004950277
2.43,31.2172162935331
2.44,30.8205297110315
2.45,30.4162386240013
2.46,30.0044427852184
2.47,29.5852437991443
2.48,29.1587450968565
2.49,28.7250519105275
2.5,28.2842712474619
2.51,27.8365118636926
2.52,27.3818842371475
2.53,26.9205005403909
2.54,26.4524746129461
2.55,25.9779219332074
2.56,25.4969595899475
2.57,25.0097062534282
2.58,24.516282146119
2.59,24.0168090130354
2.6,23.5114100916989
2.61,23.0002100817312
2.62,22.4833351140853
2.63,21.9609127199253
2.64,21.4330717991598
2.65,20.8999425886379
2.66,20.3616566300149
2.67,19.8183467372963
2.68,19.2701469640686
2.69,18.7171925704229
2.7,18.1596199895819
2.71,17.5975667942366
2.72,17.0311716626029
2.73,16.4605743442043
2.74,15.8859156253912
2.75,15.3073372946036
2.76,14.7249821073871
2.77,14.1389937511703
2.78,13.5495168098116
2.79,12.956696727926
2.8,12.3606797749979
2.81,11.7616130092922
2.82,11.1596442415692
2.83,10.5549219986149
2.84,9.94759548659421
2.85,9.33781455423622
2.86,8.72572965586171
2.87,8.1114918142605
2.88,7.49525258342901
2.89,6.87716401117638
2.9,6.25737860160923
2.91,5.6360492775033
2.92,5.01332934257218
2.93,4.38937244364181
2.94,3.76433253274058
2.95,3.13836382911379
2.96,2.51162078117254
2.97,1.8842580283857
2.98,1.25643036312513
2.99,0.628292692472811
3,4.89858719658941e-15
3.01,-0.628292692472837
3.02,-1.25643036312512
3.03,-1.88425802838571
3.04,-2.51162078117253
3.05,-3.13836382911381
3.06,-3.76433253274056
3.07,-4.38937244364182
3.08,-5.01332934257218
3.09,-5.63604927750328
3.1,-6.25737860160923
3.11,-6.87716401117637
3.12,-7.49525258342899
3.13,-8.11149181426048
3.14,-8.7257296558617
3.15,-9.33781455423621
3.16,-9.94759548659421
3.17,-10.5549219986149
3.18,-11.1596442415692
3.19,-11.7616130092922
3.2,-12.3606797749979
3.21,-12.956696727926
3.22,-13.5495168098117
3.23,-14.1389937511703
3.24,-14.7249821073871
3.25,-15.3073372946036
3.26,-15.8859156253912
3.27,-16.4605743442043
3.28,-17.0311716626029
3.29,-17.5975667942366
3.3,-18.1596199895819
3.31,-18.7171925704229
3.32,-19.2701469640686
3.33,-19.8183467372963
3.34,-20.3616566300149
3.35,-20.8999425886379
3.36,-21.4330717991598
3.37,-21.9609127199253
3.38,-22.4833351140853
3.39,-23.0002100817312
3.4,-23.5114100916989
3.41,-24.0168090130354
3.42,-24.516282146119
3.43,-25.0097062534282
3.44,-25.4969595899475
3.45,-25.9779219332074
3.46,-26.4524746129461
3.47,-26.9205005403909
3.48,-27.3818842371475
3.49,-27.8365118636926
3.5,-28.2842712474619
3.51,-28.7250519105275
3.52,-29.1587450968565
3.53,-29.5852437991443
3.54,-30.0044427852184
3.55,-30.4162386240013
3.56,-30.8205297110315
3.57,-31.2172162935331
