Time_s,RoadWheelAngle_deg
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0.0392682932795517
1.02,0.0785268976953208
1.03,0.117766126774107
1.04,0.156976298823284
1.05,0.196147739319613
1.06,0.235270783296286
1.07,0.274335777727613
1.08,0.313333083910761
1.09,0.352253079843957
1.1,0.391086162600577
1.11,0.429822750698524
1.12,0.468453286464312
1.13,0.506968238391282
1.14,0.545358103491357
1.15,0.583613409639764
1.16,0.621724717912137
1.17,0.659682624913432
1.18,0.697477765098073
1.19,0.73510081308076
1.2,0.772542485937368
1.21,0.809793545495373
1.22,0.846844800613228
1.23,0.883687109448143
1.24,0.920311381711695
1.25,0.956708580912724
1.26,0.992869726586951
1.27,1.02878589651277
1.28,1.06444822891268
1.29,1.09984792463979
1.3,1.13497624934887
1.31,1.16982453565143
1.32,1.20438418525429
1.33,1.23864667108102
1.34,1.27260353937593
1.35,1.30624641178987
1.36,1.33956698744749
1.37,1.37255704499533
1.38,1.40520844463033
1.39,1.4375131301082
1.4,1.46946313073118
1.41,1.50105056331471
1.42,1.53226763413244
1.43,1.56310664083926
1.44,1.59355997437172
1.45,1.62362012082546
1.46,1.65327966330913
1.47,1.68253128377443
1.48,1.71136776482172
1.49,1.73978199148079
1.5,1.76776695296637
1.51,1.79531574440797
1.52,1.82242156855353
1.53,1.84907773744652
1.54,1.87527767407615
1.55,1.90101491400008
1.56,1.92628310693947
1.57,1.95107601834582
1.58,1.97538753093923
1.59,1.99921164621773
1.6,2.02254248593737
1.61,2.04537429356256
1.62,2.0677014356864
1.63,2.08951840342068
1.64,2.11081981375504
1.65,2.13160041088523
1.66,2.15185506750986
1.67,2.17157878609548
1.68,2.19076670010966
1.69,2.20941407522173
1.7,2.22751631047092
1.71,2.24506893940154
1.72,2.26206763116505
1.73,2.27850819158861
1.74,2.29438656420995
1.75,2.30969883127822
1.76,2.32444121472063
1.77,2.33861007707467
1.78,2.35220192238556
1.79,2.36521339706886
1.8,2.37764129073788
1.81,2.38948253699583
1.82,2.40073421419236
1.83,2.4113935461445
1.84,2.42145790282158
1.85,2.43092480099419
1.86,2.43979190484687
1.87,2.44805702655441
1.88,2.45571812682172
1.89,2.46277331538693
1.9,2.46922085148784
1.91,2.47505914429139
1.92,2.48028675328619
1.93,2.48490238863795
1.94,2.4889049115077
1.95,2.49229333433282
1.96,2.49506682107068
1.97,2.49722468740493
1.98,2.49876640091433
1.99,2.49969158120415
2,2.5
2.01,2.49969158120415
2.02,2.49876640091433
2.03,2.49722468740492
2.04,2.49506682107068
2.05,2.49229333433282
2.06,2.4889049115077
2.07,2.48490238863795
2.08,2.48028675328619
2.09,2.47505914429139
2.1,2.46922085148784
2.11,2.46277331538694
2.12,2.45571812682172
2.13,2.44805702655441
2.14,2.43979190484687
2.15,2.43092480099419
2.16,2.42145790282158
2.17,2.4113935461445
2.18,2.40073421419236
2.19,2.38948253699583
2.2,2.37764129073788
2.21,2.36521339706886
2.22,2.35220192238556
2.23,2.33861007707467
2.24,2.32444121472063
2.25,2.30969883127822
2.26,2.29438656420995
2.27,2.27850819158861
2.28,2.26206763116505
2.29,2.24506893940154
2.3,2.22751631047092
2.31,2.20941407522173
2.32,2.19076670010966
2.33,2.17157878609548
2.34,2.15185506750986
2.35,2.13160041088523
2.36,2.11081981375504
2.37,2.08951840342068
2.38,2.06770143568641
2.39,2.04537429356256
2.4,2.02254248593737
2.41,1.99921164621773
2.42,1.97538753093923
2.43,1.95107601834582
2.44,1.92628310693947
2.45,1.90101491400008
2.46,1.87527767407615
2.47,1.84907773744652
2.48,1.82242156855353
2.49,1.79531574440797
2.5,1.76776695296637
2.51,1.73978199148079
2.52,1.71136776482172
2.53,1.68253128377443
2.54,1.65327966330913
2.55,1.62362012082546
2.56,1.59355997437172
2.57,1.56310664083926
2.58,1.53226763413244
2.59,1.50105056331471
2.6,1.46946313073118
2.61,1.4375131301082
2.62,1.40520844463033
2.63,1.37255704499533
2.64,1.33956698744749
2.65,1.30624641178987
2.66,1.27260353937593
2.67,1.23864667108102
2.68,1.20438418525429
2.69,1.16982453565143
2.7,1.13497624934887
2.71,1.09984792463979
2.72,1.06444822891268
2.73,1.02878589651277
2.74,0.992869726586951
2.75,0.956708580912725
2.76,0.920311381711694
2.77,0.883687109448143
2.78,0.846844800613228
2.79,0.809793545495374
2.8,0.772542485937368
2.81,0.73510081308076
2.82,0.697477765098074
2.83,0.659682624913432
2.84,0.621724717912138
2.85,0.583613409639764
2.86,0.545358103491357
2.87,0.506968238391281
2.88,0.468453286464313
2.89,0.429822750698524
2.9,0.391086162600577
2.91,0.352253079843956
2.92,0.313333083910761
2.93,0.274335777727613
2.94,0.235270783296286
2.95,0.196147739319612
2.96,0.156976298823284
2.97,0.117766126774106
2.98,0.0785268976953206
2.99,0.0392682932795507
3,3.06161699786838e-16
3.01,-0.0392682932795523
3.02,-0.07852689769532
3.03,-0.117766126774107
3.04,-0.156976298823283
3.05,-0.196147739319613
3.06,-0.235270783296285
3.07,-0.274335777727614
3.08,-0.313333083910761
3.09,-0.352253079843955
3.1,-0.391086162600577
3.11,-0.429822750698523
3.12,-0.468453286464312
3.13,-0.50696823839128
3.14,-0.545358103491356
3.15,-0.583613409639763
3.16,-0.621724717912138
3.17,-0.659682624913431
3.18,-0.697477765098073
3.19,-0.73510081308076
3.2,-0.772542485937369
3.21,-0.809793545495373
3.22,-0.846844800613229
3.23,-0.883687109448143
3.24,-0.920311381711696
3.25,-0.956708580912724
3.26,-0.992869726586952
3.27,-1.02878589651277
3.28,-1.06444822891268
3.29,-1.09984792463979
3.3,-1.13497624934887
3.31,-1.16982453565143
3.32,-1.20438418525429
3.33,-1.23864667108102
3.34,-1.27260353937593
3.35,-1.30624641178987
3.36,-1.33956698744749
3.37,-1.37255704499533
3.38,-1.40520844463033
3.39,-1.4375131301082
3.4,-1.46946313073118
3.41,-1.50105056331471
3.42,-1.53226763413244
3.43,-1.56310664083926
3.44,-1.59355997437172
3.45,-1.62362012082546
3.46,-1.65327966330913
3.47,-1.68253128377443
3.48,-1.71136776482172
3.49,-1.73978199148079
3.5,-1.76776695296637
3.51,-1.79531574440797
3.52,-1.82242156855353
3.53,-1.84907773744652
3.54,-1.87527767407615
3.55,-1.90101491400008
